LOCATION,CAREMODEL,COUNTRY,ALLDATA,LOCATION,INDICATOR,SUBJECT,TIME,X..per.1000,MEASURE,Value...capita,Value
AUS,FFS,AUSTRALIA,model,,,,,,,,
AUT,FFS,AUSTRIA,model,,,,,,,,
BEL,N/A,BELGIUM,model,,,,,,,,
BRA,FFS,BRAZIL,model,,,,,,,,
BGR,N/A,BULGARIA,model,,,,,,,,
CAN,FFS,CANADA,model,,,,,,,,
CHL,FFS,CHILE,model,,,,,,,,
COL,VBC,COLOMBIA,model,,,,,,,,
CRI,N/A,COSTA RICA,model,,,,,,,,
HRV,N/A,CROATIA,model,,,,,,,,
CYP,N/A,CYPRUS,model,,,,,,,,
CZE,N/A,CZECHIA,model,,,,,,,,
DNK,N/A,DENMARK,model,,,,,,,,
EST,N/A,ESTONIA,model,,,,,,,,
FIN,N/A,FINLAND,model,,,,,,,,
FRA,FFS,FRANCE,model,,,,,,,,
DEU,VBC,GERMANY,model,,,,,,,,
GBR,VBC,GREAT BRITAIN,model,,,,,,,,
GRC,N/A,GREECE,model,,,,,,,,
HUN,N/A,HUNGARY,model,,,,,,,,
ISL,N/A,ICELAND,model,,,,,,,,
IRL,VBC,IRELAND,model,,,,,,,,
ISR,N/A,ISRAEL,model,,,,,,,,
ITA,N/A,ITALY,model,,,,,,,,
JPN,FFS,JAPAN,model,,,,,,,,
KOR,N/A,KOREA,model,,,,,,,,
LVA,N/A,LATVIA,model,,,,,,,,
LTU,N/A,LITHUANIA,model,,,,,,,,
LUX,N/A,LUXEMBOURG,model,,,,,,,,
MEX,FFS,MEXICO,model,,,,,,,,
NLD,VBC,NETHERLANDS,model,,,,,,,,
NZL,N/A,NEW ZEALAND,model,,,,,,,,
NOR,VBC,NORWAY,model,,,,,,,,
POL,FFS,POLAND,model,,,,,,,,
PRT,N/A,PORTUGAL,model,,,,,,,,
ROU,N/A,ROMANIA,model,,,,,,,,
RUS,FFS,RUSSIA,model,,,,,,,,
SVK,N/A,SLOVAKIA,model,,,,,,,,
SVN,N/A,SLOVENIA,model,,,,,,,,
ESP,FFS,SPAIN,model,,,,,,,,
SWE,VBC,SWEDEN,model,,,,,,,,
CHE,N/A,SWITZERLAND,model,,,,,,,,
TUR,VBC,TURKEY,model,,,,,,,,
USA,FFS,UNITED STATES,model,,,,,,,,
,,,doctors,AUS,MEDICALDOC,TOT,2011,3.32,,,
,,,doctors,AUS,MEDICALDOC,TOT,2012,3.31,,,
,,,doctors,AUS,MEDICALDOC,TOT,2013,3.37,,,
,,,doctors,AUS,MEDICALDOC,TOT,2014,3.45,,,
,,,doctors,AUS,MEDICALDOC,TOT,2015,3.51,,,
,,,doctors,AUS,MEDICALDOC,TOT,2016,3.58,,,
,,,doctors,AUS,MEDICALDOC,TOT,2017,3.68,,,
,,,doctors,AUS,MEDICALDOC,TOT,2018,3.75,,,
,,,doctors,AUS,MEDICALDOC,TOT,2019,3.83,,,
,,,doctors,AUT,MEDICALDOC,TOT,2011,4.84,,,
,,,doctors,AUT,MEDICALDOC,TOT,2012,4.90,,,
,,,doctors,AUT,MEDICALDOC,TOT,2013,4.99,,,
,,,doctors,AUT,MEDICALDOC,TOT,2014,5.05,,,
,,,doctors,AUT,MEDICALDOC,TOT,2015,5.09,,,
,,,doctors,AUT,MEDICALDOC,TOT,2016,5.13,,,
,,,doctors,AUT,MEDICALDOC,TOT,2017,5.18,,,
,,,doctors,AUT,MEDICALDOC,TOT,2018,5.24,,,
,,,doctors,AUT,MEDICALDOC,TOT,2019,5.32,,,
,,,doctors,AUT,MEDICALDOC,TOT,2020,5.36,,,
,,,doctors,BEL,MEDICALDOC,TOT,2011,2.92,,,
,,,doctors,BEL,MEDICALDOC,TOT,2012,2.93,,,
,,,doctors,BEL,MEDICALDOC,TOT,2013,2.96,,,
,,,doctors,BEL,MEDICALDOC,TOT,2014,2.98,,,
,,,doctors,BEL,MEDICALDOC,TOT,2015,3.02,,,
,,,doctors,BEL,MEDICALDOC,TOT,2016,3.07,,,
,,,doctors,BEL,MEDICALDOC,TOT,2017,3.08,,,
,,,doctors,BEL,MEDICALDOC,TOT,2018,3.13,,,
,,,doctors,BEL,MEDICALDOC,TOT,2019,3.16,,,
,,,doctors,CAN,MEDICALDOC,TOT,2011,2.46,,,
,,,doctors,CAN,MEDICALDOC,TOT,2012,2.51,,,
,,,doctors,CAN,MEDICALDOC,TOT,2013,2.57,,,
,,,doctors,CAN,MEDICALDOC,TOT,2014,2.62,,,
,,,doctors,CAN,MEDICALDOC,TOT,2015,2.67,,,
,,,doctors,CAN,MEDICALDOC,TOT,2016,2.69,,,
,,,doctors,CAN,MEDICALDOC,TOT,2017,2.73,,,
,,,doctors,CAN,MEDICALDOC,TOT,2018,2.78,,,
,,,doctors,CAN,MEDICALDOC,TOT,2019,2.78,,,
,,,doctors,CAN,MEDICALDOC,TOT,2020,2.80,,,
,,,doctors,CZE,MEDICALDOC,TOT,2011,3.64,,,
,,,doctors,CZE,MEDICALDOC,TOT,2012,3.67,,,
,,,doctors,CZE,MEDICALDOC,TOT,2013,3.69,,,
,,,doctors,CZE,MEDICALDOC,TOT,2018,4.04,,,
,,,doctors,CZE,MEDICALDOC,TOT,2019,4.07,,,
,,,doctors,DNK,MEDICALDOC,TOT,2011,3.79,,,
,,,doctors,DNK,MEDICALDOC,TOT,2012,3.84,,,
,,,doctors,DNK,MEDICALDOC,TOT,2013,3.85,,,
,,,doctors,DNK,MEDICALDOC,TOT,2014,3.88,,,
