LOCATION,CAREMODEL,COUNTRY
AUS,FFS,AUSTRALIA
AUT,FFS,AUSTRIA
BEL,N/A,BELGIUM
BRA,FFS,BRAZIL
BGR,N/A,BULGARIA
CAN,FFS,CANADA
CHL,FFS,CHILE
COL,VBC,COLOMBIA
CRI,N/A,COSTA RICA
HRV,N/A,CROATIA
CYP,N/A,CYPRUS
CZE,N/A,CZECHIA
DNK,N/A,DENMARK
EST,N/A,ESTONIA
FIN,N/A,FINLAND
FRA,FFS,FRANCE
DEU,VBC,GERMANY
GBR,VBC,GREAT BRITAIN
GRC,N/A,GREECE
HUN,N/A,HUNGARY
ISL,N/A,ICELAND
IRL,VBC,IRELAND
ISR,N/A,ISRAEL
ITA,N/A,ITALY
JPN,FFS,JAPAN
KOR,N/A,KOREA
LVA,N/A,LATVIA
LTU,N/A,LITHUANIA
LUX,N/A,LUXEMBOURG
MEX,FFS,MEXICO
NLD,VBC,NETHERLANDS
NZL,N/A,NEW ZEALAND
NOR,VBC,NORWAY
POL,FFS,POLAND
PRT,N/A,PORTUGAL
ROU,N/A,ROMANIA
RUS,FFS,RUSSIA
SVK,N/A,SLOVAKIA
SVN,N/A,SLOVENIA
ESP,FFS,SPAIN
SWE,VBC,SWEDEN
CHE,N/A,SWITZERLAND
TUR,VBC,TURKEY
USA,FFS,UNITED STATES
