Location,Model,Modelcat,DrCount,NurseCount,healthcarespend,lifeexp,pharmspend
AUS,FFS,1,3.53,11.29,4369.61,82.46,215.79
AUT,FFS,1,5.11,7.16,5116.23,81.47,206.41
BRA,FFS,1,8.25,8.91,1348.64,74.99,92.20
CAN,FFS,1,2.66,9.76,4780.66,81.8,272.28
FRA,FFS,1,3.33,9.92,4820.31,82.53,214.26
DEU,VBC,2,4.17,12.79,5588.08,80.93,264.54
GBR,VBC,2,2.8,8.03,4048.36,81.11,169.39
IRL,VBC,2,3.07,12.45,4615.37,81.62,202.29
JPN,FFS,1,2.39,11.15,4313.61,83.86,273.17
MEX,FFS,1,2.29,2.74,1058.93,74.92,87.10
NLD,VBC,2,3.23,12.09,5206.07,81.63,136.15
NOR,VBC,2,4.59,17.26,5926.33,82.36,150.77
POL,FFS,1,2.3,5.21,1923.29,77.44,138.93
RUS,FFS,1,4.06,8.6,1484.04,71.48,111.04
ESP,FFS,1,3.92,5.45,3068.57,83.11,165.02
SWE,VBC,2,4.13,10.92,5084.98,82.35,171.79
USA,FFS,1,2.57,11.49,9407.97,78.61,398.09
