Row Labels,Average of Value $/capita 
AUS,4369.614
AUT,5116.2326
BEL,4771.643778
BGR,1488.362667
BRA,1348.641
CAN,4780.661222
CHE,6351.558444
CHL,1880.2257
CHN,618.64725
COL,1032.266111
CRI,1370.468889
CYP,2233.790889
CZE,2763.0088
DEU,5588.0838
DNK,4872.6782
ESP,3068.567222
EST,2022.6238
FIN,4118.4223
FRA,4820.3098
GBR,4048.3594
GRC,2186.145
HRV,1638.692556
HUN,1930.106444
IDN,311.7995
IND,211.42375
IRL,4615.3655
ISL,3956.1257
ISR,2442.354
ITA,3298.3564
JPN,4313.614889
KOR,2635.1158
LTU,2082.5527
LUX,4864.399667
LVA,1483.477333
MEX,1058.9304
MLT,3105.186375
NLD,5206.0701
NOR,5926.3307
NZL,3621.962111
POL,1923.288
PRT,2808.5778
ROU,1235.229444
RUS,1484.037556
SVK,2090.8062
SVN,2794.6351
SWE,5084.9823
TUR,1062.570889
USA,9407.965667
ZAF,1025.036625
Grand Total,3117.167526
